prof.level,Other.ranking,scientistYN,expertise,requireMLM,confident,current.planning,current.planning_8_TEXT,confidence1,confidence2,powertools.familiar_1,powertools.familiar_2,powertools.familiar_3,powertools.familiar_4,powertools.familiar_5,powertools.familiar_6,powertools.familiar_7,powertools.familiar_8,powertools.familiar_9,powertools.familiar_10,powertools.familiar_11,powertools.use_1,powertools.use_2,powertools.use_3,powertools.use_4,powertools.use_5,powertools.use_6,powertools.use_7,powertools.use_8,powertools.use_9,powertools.use_10,powertools.use_11,useful.tool,useful.tool.gen,useful.vids,useful.vids.field,useful.table,useful.table.field,current.planning_OTHERCAT
3,,1,4,4,2,6,,2,3,4,1,1,1,1,1,1,1,2,3,3,3,1,1,1,1,1,1,1,1,2,3,5,5,5,5,5,5,
2,,1,3,4,2,5,,1,3,3,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,2,5,5,5,5,3,3,
2,,1,3,4,1,8,"If I have the choice, I would often intentionally oversample since the results of power-analyses, especially for MLM, depend on many parameters that I have high uncertainty about. ",5,5,3,1,1,1,1,1,1,1,5,1,2,3,1,1,1,1,1,1,1,4,1,2,5,5,4,4,4,4,Other 1
4,,1,3,3,2,5,,3,3,4,1,1,1,1,1,1,1,4,1,2,3,1,1,1,1,1,1,1,3,1,3,5,5,5,5,5,5,
4,,1,3,3,2,8,"With more simple designs/statistical plans, I can usually estimate power and sample size.  However, with most analyses that I do, I consult with a colleague that has that expertise. I typically consult with about 75% of my research.",1,1,2,1,1,2,2,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,Other 2
4,,1,3,3,2,6,,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
4,,1,4,4,2,7,,3,3,5,1,1,3,2,2,1,1,3,2,1,4,1,1,2,1,1,1,1,2,1,1,4,4,4,3,4,4,
2,,1,2,3,2,8,"I'm early in my career and have not had to plan a sample size for research, but I have been taught that I should do a power analysis",1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,4,4,4,5,5,Other 4
6,Research assistant professor/Research scientist,1,4,4,3,7,,3,3,3,1,1,3,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,5,5,5,5,5,5,
2,,1,3,4,2,6,,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
4,,1,4,3,2,7,,2,2,3,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,5,5,3,3,5,5,
2,,1,4,4,2,4,,3,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,5,5,5,5,5,5,
2,,1,2,3,2,6,,2,3,2,1,1,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,2,1,4,4,5,5,5,4,
4,,1,4,4,2,6,,4,4,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,2,5,5,5,5,5,5,
2,,1,3,3,2,4,,1,1,2,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,1,1,1,2,1,1,4,5,3,3,4,4,
4,,1,3,4,2,7,,3,3,3,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,3,1,4,4,4,4,5,5,
4,,1,4,4,2,5,,1,2,4,2,2,2,2,1,1,1,4,1,3,3,1,1,1,1,1,1,1,2,1,3,5,5,3,2,4,4,
3,,1,3,4,2,4,,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
2,,1,4,4,2,7,,1,2,2,1,1,2,1,2,1,1,2,2,3,2,1,1,2,1,3,1,1,1,2,3,4,3,5,5,4,5,
4,,1,3,3,2,5,,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
2,,1,3,4,2,7,,1,1,3,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,3,5,4,5,4,3,3,
4,,1,3,4,2,8,"I do a combination of both consulting with the existing literature, consulting with colleagues who have conducted similar studies or with similar samples/settings and I conduct a power analysis (with support for statistical experts). ",4,4,5,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,5,Response 7
3,,1,4,4,2,7,,1,1,4,1,1,1,1,1,1,1,2,1,2,4,1,1,1,1,NA,1,1,1,1,1,5,5,5,5,5,5,
2,,1,4,3,2,7,,1,1,3,1,1,1,1,2,1,1,2,1,2,3,1,1,1,1,1,1,1,2,1,2,5,5,5,5,5,5,
3,,1,4,3,2,4,,3,2,2,1,1,1,1,1,1,1,4,1,4,2,1,1,1,1,1,1,1,3,1,4,4,4,5,5,5,5,
2,,1,3,3,2,4,,1,1,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,5,
4,,1,4,4,2,8,Work with a statistician,3,2,3,1,2,2,1,1,1,1,1,1,1,3,1,NA,2,1,1,1,1,1,1,1,5,5,5,5,5,5,Other 4
4,,1,4,4,1,6,,1,4,2,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,
4,,1,4,3,2,1,,2,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
2,,1,2,2,3,7,,2,2,4,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,3,1,2,4,4,4,4,4,4,
2,,1,3,3,3,7,,2,1,3,1,1,1,1,1,1,1,3,2,3,2,1,1,1,1,1,1,1,4,1,4,4,4,5,4,3,3,
2,,1,2,4,2,7,,3,3,2,1,1,1,3,1,1,1,2,1,3,1,1,1,1,1,1,1,1,3,1,2,5,5,5,5,5,5,
2,,1,3,3,2,4,,2,1,3,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,2,3,2,2,3,5,5,5,5,
3,,1,3,4,2,7,,3,3,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
2,,1,3,3,2,1,,3,1,5,1,1,1,1,1,1,1,3,1,4,4,1,1,1,1,1,1,1,2,1,3,5,5,5,5,3,3,
4,,1,4,4,2,7,,1,1,4,1,2,1,1,1,1,1,3,1,4,4,1,1,1,1,1,1,1,1,1,4,5,5,3,3,4,4,
2,,1,4,4,2,4,,1,3,2,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,3,1,2,5,5,4,3,5,5,
3,,1,4,4,2,3,,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
4,,1,4,4,1,7,,4,3,4,1,4,1,1,1,1,1,2,3,1,3,1,3,1,1,1,1,1,2,2,1,5,5,5,5,5,5,
3,,1,4,4,1,7,,4,4,3,1,1,1,3,1,1,1,3,1,2,3,1,1,NA,1,1,1,1,2,1,2,3,4,3,4,3,4,
5,,2,4,3,1,7,,3,4,2,1,1,1,1,1,1,1,4,2,4,1,1,1,1,1,1,1,1,3,2,4,3,4,4,4,4,4,
2,,1,4,4,2,7,,3,3,5,1,1,1,1,1,1,1,3,1,3,4,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,
2,,1,3,4,2,4,,2,3,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,5,4,5,5,5,5,
4,,1,4,4,2,7,,2,2,4,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,
3,,1,4,4,1,7,,3,4,3,1,1,1,1,1,1,1,4,1,4,2,1,1,1,1,1,1,1,3,1,4,4,5,4,4,4,4,
2,,1,3,4,2,6,,2,2,3,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,5,4,5,5,5,5,
4,,2,4,4,1,7,,3,3,4,1,1,2,1,1,1,1,4,1,4,3,1,1,1,1,1,1,1,4,1,4,4,5,1,1,3,3,
2,,1,4,4,2,4,,1,1,3,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
4,,1,3,4,2,6,,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,5,
2,,1,4,3,2,8,Not sure where simulations fall in this,3,3,4,1,1,1,1,1,1,1,5,1,3,3,1,1,1,1,1,1,1,4,1,3,2,5,5,5,4,4,Response 7
2,,1,3,4,2,4,,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,5,
4,,1,3,3,2,6,,2,3,2,1,1,2,1,1,1,1,3,3,2,1,1,1,2,1,1,1,1,2,2,2,4,5,5,5,5,5,
2,,1,2,3,2,6,,1,1,2,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,2,3,5,5,5,5,5,5,
3,,1,4,4,1,5,,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,2,1,2,3,2,3,2,3,3,
4,,1,4,4,2,6,,3,3,4,1,1,1,1,1,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,2,5,5,5,4,5,5,
4,,1,4,4,2,7,,1,1,5,1,1,1,2,1,1,1,3,2,2,4,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
2,,1,3,4,2,4,,4,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,4,4,
4,,1,3,4,3,5,,2,2,4,2,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,2,1,1,5,5,5,5,5,5,
4,,1,4,4,2,7,,1,3,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,3,1,1,5,5,5,5,5,5,
4,,1,3,4,2,1,,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,
6,"Research staff, have a PhD and completed a postdoc",1,3,4,2,7,,1,1,3,1,1,1,1,1,1,1,2,1,3,3,1,1,1,1,1,1,1,1,1,3,4,5,4,5,4,5,
4,,1,4,3,3,7,,2,3,5,1,1,3,1,1,1,1,4,1,1,4,1,1,2,1,1,1,1,3,1,1,5,5,5,5,4,4,
4,,1,3,4,2,4,,3,3,4,1,1,1,1,2,1,1,2,1,4,2,1,1,1,1,2,1,1,2,1,4,5,5,5,5,5,5,
2,,1,3,3,2,4,,1,1,3,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,2,1,2,5,4,5,5,5,5,
6,NIH investigator,1,3,4,2,7,,3,3,5,1,1,4,1,1,1,1,1,2,2,4,1,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,
2,,1,3,2,3,7,,2,2,3,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,3,1,3,4,4,5,4,2,2,
2,,1,3,2,2,7,,1,1,3,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,4,5,5,5,4,5,5,
5,,2,4,4,3,4,,3,4,1,1,1,1,2,1,1,1,4,1,4,1,1,1,1,1,1,1,1,3,1,3,4,4,4,4,3,3,
3,,1,4,4,3,7,,2,3,2,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,3,1,3,5,5,4,4,5,5,
4,,1,3,4,3,4,,2,2,3,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,2,1,5,5,5,5,5,5,
5,,2,3,3,1,5,,5,3,1,1,4,3,4,1,1,1,4,1,5,1,1,4,2,4,1,1,1,3,1,3,2,3,4,5,2,3,
4,,1,4,4,2,7,,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,5,
2,,2,3,4,1,4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
4,,1,3,2,1,7,,4,4,1,1,1,5,1,1,1,1,3,1,1,1,1,1,4,1,1,1,1,3,1,1,4,4,4,4,4,4,
5,,1,3,3,3,7,,3,3,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,3,4,3,3,3,4,3,
3,,1,3,2,2,3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
2,,1,3,4,2,1,,1,1,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,3,
4,,1,3,4,2,8,I consult with a statistician and base my design on existing studies,2,2,3,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,3,4,3,4,3,4,Other 2
2,,1,3,4,2,4,,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
4,,1,3,2,2,7,,2,2,4,1,1,2,1,1,1,1,3,1,3,3,1,1,1,1,1,1,1,2,1,2,5,4,4,4,4,4,
3,,1,3,4,2,4,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,5,5,
2,,1,3,3,2,1,,1,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,4,4,3,4,5,5,
2,,1,3,3,2,8,"I like to use a mix of simulation based on prior literature (eg simulating within subjects conditions from a multivariate normal distribution and then running the planned analyses 10000 times to get power estimates), as well as traditional power analyses through g power",3,3,4,1,1,2,1,1,1,1,4,1,2,4,1,1,1,1,1,1,1,4,1,3,5,5,4,5,4,4,Response 7
2,,1,3,3,2,7,,1,2,3,1,1,1,1,1,1,1,3,1,4,3,1,1,1,1,1,1,1,2,1,3,5,5,4,3,4,5,
2,,1,4,4,3,6,,4,4,4,2,1,1,1,1,1,1,4,1,3,3,1,1,1,1,1,1,1,3,1,3,5,5,5,5,5,5,
3,,1,4,4,2,7,,2,3,3,1,1,1,1,3,1,1,3,1,5,2,1,1,1,1,3,1,1,4,1,3,5,5,5,5,5,5,
3,,1,4,4,3,8,"I conduct power analyses using prior studies, but I know the analyses are not great",1,1,4,1,2,1,1,1,1,1,3,1,3,2,1,1,1,1,1,1,1,3,1,3,5,5,5,5,5,5,Response 6
3,,1,4,4,2,1,,2,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
2,,1,2,3,2,7,,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,
2,,2,3,3,2,4,,2,2,3,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,2,5,5,5,5,5,5,
4,,1,3,4,3,4,,1,2,4,1,1,1,1,1,1,1,3,1,NA,2,1,1,1,1,1,1,1,2,1,1,5,5,5,5,5,5,
3,,1,3,4,2,4,,2,2,4,1,1,1,1,1,1,1,2,2,3,4,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,
3,,1,3,4,2,8,I often don’t do one because my population is somewhat small and understudied,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,Response 2
2,,1,3,3,2,2,,1,1,3,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,2,5,5,5,4,5,5,
4,,2,4,3,2,5,,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,2,4,4,5,5,
4,,1,4,4,2,5,,2,2,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
2,,1,3,4,2,4,,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,5,5,4,4,5,4,
2,,1,3,4,2,6,,1,1,3,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,2,1,2,5,5,4,4,3,3,
3,,1,3,4,2,7,,1,1,3,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1,1,1,2,1,2,4,4,4,4,4,4,
2,,1,3,3,1,7,,3,3,3,1,2,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,3,4,4,4,4,2,2,
2,,1,4,4,2,8,I’ve been attempting to use simulation when I can,1,1,3,1,1,1,1,1,1,1,3,1,2,3,1,1,1,1,1,1,1,3,1,2,4,4,4,4,2,2,Response 7
3,,1,3,4,2,4,,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
4,,1,3,4,2,1,,1,1,4,1,1,1,1,1,1,1,2,1,4,3,1,1,1,1,1,1,1,1,1,4,5,5,5,5,3,3,
4,,2,3,3,2,7,,2,2,5,1,2,1,1,2,1,1,2,1,2,4,1,1,1,1,2,1,1,3,1,3,5,4,5,5,3,3,
4,,1,3,3,2,5,,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,4,
4,,1,4,3,1,7,,4,4,4,1,4,1,1,1,1,1,3,1,1,4,1,3,1,1,1,1,1,2,1,1,5,5,5,5,5,5,
3,,1,3,4,2,6,,1,3,4,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,
3,,1,4,4,3,7,,3,3,4,1,1,1,1,1,1,1,2,1,3,3,1,1,1,1,1,1,1,2,1,2,5,5,5,5,2,2,
